scenario,profile_year,sample_end_year,validation_mode,use_current_2025_inputs,tiva_treatment,mixed_poland_trade_profile_year,drop_ireland,design_status,description,run_status,returncode,retained_count,retained_features,retains_investment_import_content,retains_household_net_financial_worth,retains_real_ppp_income,equal_weight_K_Y_h8,equal_weight_K_G_h8,cut_DSA_margin_2036_equal_weight,cut_direct_DY_2036_equal_weight,expansion_DSA_margin_2036_equal_weight,expansion_direct_DY_2036_equal_weight,investment_import_content_source_min_year,investment_import_content_source_max_year,investment_import_content_nonmissing_rows,investment_import_content_poland_profile_raw,investment_import_content_poland_profile_z,investment_import_content_countries_2025_nonmissing,investment_import_content_standardization_end,investment_import_content_standardization_nobs,household_net_financial_worth_source_min_year,household_net_financial_worth_source_max_year,household_net_financial_worth_nonmissing_rows,household_net_financial_worth_poland_profile_raw,household_net_financial_worth_poland_profile_z,household_net_financial_worth_countries_2025_nonmissing,household_net_financial_worth_standardization_end,household_net_financial_worth_standardization_nobs,real_ppp_income_source_min_year,real_ppp_income_source_max_year,real_ppp_income_nonmissing_rows,real_ppp_income_poland_profile_raw,real_ppp_income_poland_profile_z,real_ppp_income_countries_2025_nonmissing,real_ppp_income_standardization_end,real_ppp_income_standardization_nobs
accepted_common_window_2022,2022,2022,benchmark,False,official_only,,False,accepted benchmark,Accepted common-window benchmark using the official TiVA endpoint and accepted frozen inputs.,PASS,0,2,trade|liq,True,True,False,1.9981047795,0.720018505,5.696884469,3.019450733,-5.3670872055,-3.019450733,1995,2022,755,0.41308,-0.161130026329,0,2022,513,1995,2022,749,-0.657147826933,0.768793657596,0,2022,513,1995,2022,750,10.1841491503,-0.0679805122286,0,2022,513
official_tiva_endpoint_profile2025,2025,2025,exploratory,True,official_only,,False,strict official TiVA endpoint,"Eurostat reaches 2025, but TiVA is not carried forward; Poland 2025 has no import-content profile.",PASS,0,1,liq,False,True,False,2.110973508,0.753257484,6.71549285,3.793807696,-6.298043244,-3.793807696,1995,2022,755,,,0,2025,513,1995,2025,829,-0.793470987918,0.575555147558,26,2025,593,1995,2025,830,10.2646870989,0.0740163708111,26,2025,594
mixed_tiva2022_profile_eurostat2025_unbalanced,2025,2025,exploratory,True,official_only,2022,False,mixed-window diagnostic,Official TiVA profile is held at 2022 for Poland's import-content state; Eurostat variables use 2025 availability with complete-case missingness.,PASS,0,2,trade|liq,True,True,False,1.9817445585,0.7306732635,5.777057304,2.782634917,-5.436958509,-2.782634917,1995,2025,756,0.41308,-0.161130026329,1,2025,513,1995,2025,829,-0.793470987918,0.575555147558,26,2025,593,1995,2025,830,10.2646870989,0.0740163708111,26,2025,594
mixed_tiva2022_profile_eurostat2025_drop_ireland,2025,2025,exploratory,True,official_only,2022,True,drop-Ireland sensitivity,"Same mixed-window design, but Ireland is removed from the full panel as a missing-data sensitivity.",PASS,0,4,trade|liq|trade+liq|log_gdp_pc,True,True,True,1.67765982075,0.7123238545,5.14001860025,3.37815015575,-4.80925172575,-3.37815015575,1995,2025,728,0.41308,-0.0811270227789,1,2025,494,1995,2025,805,-0.793470987918,0.597022096595,26,2025,572,1995,2025,800,10.2646870989,0.135723675171,26,2025,572
tiva2022_carry_forward_to_2025_unbalanced,2025,2025,exploratory,True,carry_forward_2022_to_2025,,False,lower-status carry-forward diagnostic,"Mechanical TiVA 2022 carry-forward to 2023-2025; included only to bound sensitivity, not as official evidence.",PASS,0,2,trade|liq,True,True,False,1.9779023425,0.7306732635,5.7226573545,2.782634917,-5.3839944005,-2.782634917,1995,2025,835,0.41308,-0.212239415288,26,2025,594,1995,2025,829,-0.793470987918,0.575555147558,26,2025,593,1995,2025,830,10.2646870989,0.0740163708111,26,2025,594
short_official_tiva_window_trade2022_nontrade2025,trade=2022; nontrade=2025,trade=2022; nontrade=2025,composite_diagnostic,True,official_window_only_for_tiva_candidates,2022,False,short official TiVA-window composite,TiVA-dependent candidates use the official TiVA endpoint/window; non-TiVA candidates use natural 2025 Eurostat availability.,PASS,0,2,trade|liq,True,True,False,1.9746197605,0.723643415,5.8030717495,2.761694828,-5.4671499295,-2.761694828,,,,,,,,,,,,,,,,,,,,,,,,
