path,horizon,incremental_y,K_Y_cumulative,incremental_g,K_G_cumulative,K_Y_over_K_G,nobs,country_n,year_min,year_max
linear_benchmark,8,0.22543152994263657,2.2254327520248918,0.06659222249866187,0.7760567968690756,2.867615825289051,378,27,2004,2017
trade,8,0.31466721817583715,1.7978399426675131,0.07196875783203038,0.726559047560126,2.4744581306982263,378,27,2004,2017
liq,8,0.3014118337022739,2.235753747310901,0.05186848797146597,0.7671883315182209,2.9142176118430725,378,27,2004,2017
debt,8,0.1971599224646352,1.7813435168502745,0.063377967025245,0.7526616391748677,2.3667255299514616,378,27,2004,2017
equal_weight_retained_single_features,8,0.2710796581142488,1.9383124022762297,0.06240507094291378,0.748803006084405,2.5885478377176057,378,27,2004,2017
