feature_set,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.0285235483472484,-1.8349106898670922,-1.4741204609410516
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-2.4925873309925217,-1.7962612350606144,-0.19645635324884192
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.085776733369793,-1.8276097060403216,0.2575596254768238
debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-1.9217201888212945,-1.991654633673162,-0.5844040405718636
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.065135280462242,1.0,1.583170308210779
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,2.7396050226063724,1.9088239928493254,4.165840452323318
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.319154815336409,2.6590053365039266,6.276733712077071
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.455197919488747,2.3144993735429713,5.7709346351931865
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.9295714291743566,1.9974683883829152,3.9561711073333328
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,3.437102291782184,1.8389939523906196,1.7451432471103965
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,3.0442821945755916,1.792291591198738,1.007447304577809
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,2.701873222534048,1.8349623765360534,0.9609318217680082
debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,2.549086549737164,2.012705164605369,1.8881061030760904
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.065135280462242,-1.0,-1.583170308210779
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-2.7396050226063724,-1.9088239928493254,-4.165840452323318
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.319154815336409,-2.6590053365039266,-6.276733712077071
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.455197919488747,-2.3144993735429713,-5.7709346351931865
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.9295714291743566,-1.9974683883829152,-3.9561711073333328
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-3.437102291782184,-1.8389939523906196,-1.7451432471103965
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-3.0442821945755916,-1.792291591198738,-1.007447304577809
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-2.701873222534048,-1.8349623765360534,-0.9609318217680082
debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-2.549086549737164,-2.012705164605369,-1.8881061030760904
linear_benchmark,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.1623801975595205,1.0,1.5284036762860465
linear_benchmark,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.2626523108449073,2.0054697700296256,4.0458481535665465
linear_benchmark,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.501017228404298,2.8462870897429013,6.418841846032834
linear_benchmark,three_1pp_cut_2028_2030,cut,2031,3,0.0,6.323891186950924,2.565143120732759,6.938452656337397
linear_benchmark,three_1pp_cut_2028_2030,cut,2032,4,0.0,6.0248419545413725,2.246207519575867,5.734028078385772
