feature_set,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-0.17127865641836132,-1.6801253571138328,1.7114189991598354
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-0.16571700577161186,-1.8445600297869336,-0.02766043017570019
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3997698802177083,1.0,1.499813537627817
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.2459657259826487,1.9057973419142122,3.846005790530132
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.729389416976439,2.6373031707724697,5.636481515707992
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.193567901548047,2.2617270575715107,4.873236195706127
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.0441628284898252,1.8797057514622497,2.9073745195516185
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,1.8829625473077833,1.6737864703498229,0.034672869115911054
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,0.9138812078609648,1.586364109180539,-1.2198939400590818
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,0.24520738052998095,1.6397460390846876,-1.247184235537026
trade+debt+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,0.2493853361990102,1.8137030231251372,0.625082083804979
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3997698802177083,-1.0,-1.499813537627817
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.2459657259826487,-1.9057973419142122,-3.846005790530132
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.729389416976439,-2.6373031707724697,-5.636481515707992
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.193567901548047,-2.2617270575715107,-4.873236195706127
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.0441628284898252,-1.8797057514622497,-2.9073745195516185
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-1.8829625473077833,-1.6737864703498229,-0.034672869115911054
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-0.9138812078609648,-1.586364109180539,1.2198939400590818
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-0.24520738052998095,-1.6397460390846876,1.247184235537026
trade+debt+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-0.2493853361990102,-1.8137030231251372,-0.625082083804979
trade+liq,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3616689672439937,1.0,1.5445496175679463
trade+liq,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.740462594795949,2.0337905921095576,4.041119464181613
trade+liq,three_1pp_cut_2028_2030,cut,2030,2,1.0,6.093397825112454,2.875271957877501,6.273575735044397
trade+liq,three_1pp_cut_2028_2030,cut,2031,3,0.0,6.541758441947959,2.5762120913299413,6.569392730163603
trade+liq,three_1pp_cut_2028_2030,cut,2032,4,0.0,5.587155636668275,2.193408372347041,4.89032450010784
trade+liq,three_1pp_cut_2028_2030,cut,2033,5,0.0,4.506074554800524,1.9979357151820376,1.9008824674759883
trade+liq,three_1pp_cut_2028_2030,cut,2034,6,0.0,3.94241586175197,1.9126252215557522,-0.5028071438795827
trade+liq,three_1pp_cut_2028_2030,cut,2035,7,0.0,3.997256418676624,1.9291353964694666,-0.559920790144247
trade+liq,three_1pp_cut_2028_2030,cut,2036,8,0.0,4.560083040352598,2.012449877171552,1.9051293044592992
trade+liq,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3616689672439937,-1.0,-1.5445496175679463
trade+liq,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.740462594795949,-2.0337905921095576,-4.041119464181613
trade+liq,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-6.093397825112454,-2.875271957877501,-6.273575735044397
trade+liq,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-6.541758441947959,-2.5762120913299413,-6.569392730163603
trade+liq,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-5.587155636668275,-2.193408372347041,-4.89032450010784
trade+liq,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-4.506074554800524,-1.9979357151820376,-1.9008824674759883
trade+liq,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-3.94241586175197,-1.9126252215557522,0.5028071438795827
trade+liq,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-3.997256418676624,-1.9291353964694666,0.559920790144247
trade+liq,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-4.560083040352598,-2.012449877171552,-1.9051293044592992
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.334398729908511,1.0,1.918939224827403
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.44590040098344,1.9202586714909926,5.15978877035838
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.280009653998769,2.6542457645797795,8.014059668171006
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.983386364284646,2.2918175907204454,7.575708247269866
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.726346788471151,1.9361566071017655,5.087316493372768
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,2.4926364607299796,1.7509631996897315,0.5920688813062862
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,1.6039554601773967,1.6405063670363185,-2.5462934670071187
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,1.0367787493655218,1.6397091695244344,-3.7001774010699027
trade+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,1.0016582528136853,1.7858728783811795,-2.7061392313022106
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.334398729908511,-1.0,-1.918939224827403
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.44590040098344,-1.9202586714909926,-5.15978877035838
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.280009653998769,-2.6542457645797795,-8.014059668171006
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.983386364284646,-2.2918175907204454,-7.575708247269866
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.726346788471151,-1.9361566071017655,-5.087316493372768
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-2.4926364607299796,-1.7509631996897315,-0.5920688813062862
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-1.6039554601773967,-1.6405063670363185,2.5462934670071187
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-1.0367787493655218,-1.6397091695244344,3.7001774010699027
trade+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-1.0016582528136853,-1.7858728783811795,2.7061392313022106
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3720042673554493,1.0,1.9484433747067191
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.339360196552226,1.8960213424701404,5.147871992392249
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,5.073389133129914,2.635819743056416,8.035038771891767
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.87759908177679,2.2787274248537734,7.663569923889894
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.9364179452964256,1.9333505167512766,5.210140809475087
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,2.8737712283989807,1.7254595124281602,0.5663167522377623
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,1.9867189120457722,1.5816543579320175,-2.7038137006721104
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,1.4025418864221508,1.5767522342906088,-3.691135201909252
trade+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,1.3730320514168235,1.7353211301693838,-2.645463068768801
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3720042673554493,-1.0,-1.9484433747067191
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.339360196552226,-1.8960213424701404,-5.147871992392249
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-5.073389133129914,-2.635819743056416,-8.035038771891767
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.87759908177679,-2.2787274248537734,-7.663569923889894
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.9364179452964256,-1.9333505167512766,-5.210140809475087
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-2.8737712283989807,-1.7254595124281602,-0.5663167522377623
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-1.9867189120457722,-1.5816543579320175,2.7038137006721104
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-0.0,-1.4025418864221508,-1.5767522342906088,3.691135201909252
trade+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-0.0,-1.3730320514168235,-1.7353211301693838,2.645463068768801
