path,scenario,scenario_sign,metric,draws,mean,sd,p025,p05,p50,p95,p975,positive_share
trade,three_1pp_cut_2028_2030,cut,K_Y_h8,29,1.8853318673811,0.5228292734363079,0.9564744212976085,0.9901988332246823,1.8978957387509081,2.5714741758002977,2.793543470039743,1.0
trade,three_1pp_cut_2028_2030,cut,K_G_h8,29,0.744909331857272,0.0959292921076522,0.5517346218654061,0.5984192926971141,0.7597778775034513,0.8915153131378173,0.9156442086564546,1.0
trade,three_1pp_cut_2028_2030,cut,dsa_margin_2036,29,4.864838514164717,5.758042973009623,-6.741266079826056,-6.11533382593409,5.778244346383801,12.432697554307643,14.614805028433896,0.7931034482758621
trade,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,29,2.029803889130836,2.9810850539699394,-3.538566172136981,-2.61194510874014,1.7961984783057299,6.45528578896554,8.31166220593245,0.7586206896551724
trade,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,29,4.601937282206635,1.4121699371301273,2.2664543177744205,2.3802312830409442,4.884757653519909,6.617057311367833,6.909007815409922,1.0
trade,three_1pp_cut_2028_2030,cut,direct_pb_2036,29,2.0167741738749103,0.21387391756286533,1.6506928978185844,1.739405728098808,2.029342055862699,2.3970269843295515,2.4248727617982113,1.0
trade,three_1pp_expansion_2028_2030,expansion,K_Y_h8,29,1.8853318673811,0.5228292734363079,0.9564744212976085,0.9901988332246823,1.8978957387509081,2.5714741758002977,2.793543470039743,1.0
trade,three_1pp_expansion_2028_2030,expansion,K_G_h8,29,0.744909331857272,0.0959292921076522,0.5517346218654061,0.5984192926971141,0.7597778775034513,0.8915153131378173,0.9156442086564546,1.0
trade,three_1pp_expansion_2028_2030,expansion,dsa_margin_2036,29,-4.619524828746137,5.63989385630875,-14.094806856583123,-12.048482629287047,-5.714015492867688,6.186400120045903,6.789943257346251,0.20689655172413793
trade,three_1pp_expansion_2028_2030,expansion,direct_dy_margin_2036,29,-2.029803889130836,2.9810850539699394,-8.311662205932446,-6.4552857889655435,-1.7961984783057299,2.611945108740136,3.5385661721369814,0.2413793103448276
trade,three_1pp_expansion_2028_2030,expansion,Y_shortfall_2036,29,-4.601937282206635,1.4121699371301273,-6.909007815409922,-6.617057311367833,-4.884757653519909,-2.3802312830409442,-2.26645431777442,0.0
trade,three_1pp_expansion_2028_2030,expansion,direct_pb_2036,29,-2.0167741738749103,0.21387391756286533,-2.4248727617982113,-2.3970269843295515,-2.029342055862699,-1.739405728098808,-1.6506928978185844,0.0
liq,three_1pp_cut_2028_2030,cut,K_Y_h8,29,2.3241020051463313,0.7384051486086034,1.2254176666766101,1.3571788059811216,2.409526661969929,3.505599837154324,3.653178030098409,1.0
liq,three_1pp_cut_2028_2030,cut,K_G_h8,29,0.7851305809245009,0.09807513944119933,0.5449430216553303,0.6009157068713475,0.8043866019336037,0.914306374929565,0.9454839557338356,1.0
liq,three_1pp_cut_2028_2030,cut,dsa_margin_2036,29,7.9265767772095215,6.87692664663803,-5.430923281121677,-3.5210743729736316,7.154648368292612,19.621663192948535,20.91606102738664,0.8620689655172413
liq,three_1pp_cut_2028_2030,cut,direct_dy_margin_2036,29,3.2278286070430005,3.142226741072828,-1.3474560114755603,-0.7430425688813894,2.774020519295147,8.038960463855586,10.00555156318323,0.8620689655172413
liq,three_1pp_cut_2028_2030,cut,Y_shortfall_2036,29,5.962454207692663,1.8206891074059703,3.0015458559740296,3.4023214665092323,5.478516939231385,8.753137994721875,8.989720806991452,1.0
liq,three_1pp_cut_2028_2030,cut,direct_pb_2036,29,2.1859734119876504,0.2010010675509289,1.7892837306034157,1.8506683524273513,2.1928340203194314,2.5126143494008972,2.6246514218319903,1.0
liq,three_1pp_expansion_2028_2030,expansion,K_Y_h8,29,2.3241020051463313,0.7384051486086034,1.2254176666766101,1.3571788059811216,2.409526661969929,3.505599837154324,3.653178030098409,1.0
liq,three_1pp_expansion_2028_2030,expansion,K_G_h8,29,0.7851305809245009,0.09807513944119933,0.5449430216553303,0.6009157068713475,0.8043866019336037,0.914306374929565,0.9454839557338356,1.0
