feature_set,features,horizon,response_type,dep_col,scale_col,window_start,window_end,nobs,country_n,year_min,year_max,rank,regressor_count,status,profile_country,profile_year,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,ci95_low,ci95_high,cumulative_ratio,cumulative_label
liq+log_gdp_pc,liq|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.006855126743442659,0.005731106834910475,0.2316473350009074,0.04225351216058719,0.001397326817199913,0.0,30.23881860741678,0.16223803402162898,0.13592158902058277,0.23262864242014514,-0.10416338518016802,0.428639453223426,0.686429415694148,K_Y_cumulative
log_gdp_pc,log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,8,8,OK,POL,2025,"{""log_gdp_pc"": 0.07401637081113775}",0.005603984485213431,0.002284435199328514,0.01416246688993783,0.04075830667811546,0.001603359909613302,0.0,25.420559934011038,0.13749306440697653,0.060153502406430345,0.0222716167726138,0.01959436614642962,0.25539176266752345,0.7349965523925807,K_G_cumulative
log_gdp_pc,log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,8,8,OK,POL,2025,"{""log_gdp_pc"": 0.07401637081113775}",0.002272304427745193,0.0061666041609363415,0.7125112296450797,0.04075830667811546,0.001603359909613302,0.0,25.420559934011038,0.05575070735127649,0.150230037354264,0.7105613629922656,-0.2386947552591878,0.35019616996174074,0.9426081164889764,K_Y_cumulative
trade,trade,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,8,8,OK,POL,2025,"{""trade"": -0.16113002632933232}",0.003044964037786579,0.0016238545639407009,0.060772670531429096,0.04230952609871764,0.0011995021225990649,0.0,35.27257292971015,0.07196875783203038,0.0394034759800573,0.06778144006837827,-0.005260635954571005,0.14919815161863176,0.726559047560126,K_G_cumulative
trade,trade,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,8,8,OK,POL,2025,"{""trade"": -0.16113002632933232}",0.013313420879821458,0.00393153480245346,0.0007083765260924579,0.04230952609871764,0.0011995021225990649,0.0,35.27257292971015,0.31466721817583715,0.0858170151489215,0.0002456787316724718,0.14646895922322284,0.48286547712845146,1.7978399426675131,K_Y_cumulative
trade+debt,trade|debt,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""trade"": -0.16113002632933232}",0.0023613634396955274,0.0011986148050059876,0.04882954831108255,0.04274346252235891,0.0005185650800146459,0.0,82.42641891959192,0.05524501994802852,0.027739411148906403,0.04641809584808332,0.0008767731438231521,0.1096132667522339,0.6811918002191828,K_G_cumulative
trade+debt,trade|debt,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""trade"": -0.16113002632933232}",0.0130358632573715,0.004063504909134488,0.0013364554347667923,0.04274346252235891,0.0005185650800146459,0.0,82.42641891959192,0.3049791123157723,0.09240827618202187,0.0009656633654804292,0.12386221912557902,0.48609600550596554,1.1414067593727162,K_Y_cumulative
trade+debt+liq,trade|debt|liq,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""trade"": -0.16113002632933232}",0.002205527264397438,0.0012743982971232862,0.08351562928568712,0.043121027783824664,0.0003728145717559781,0.0,115.66347200626345,0.05114737235518222,0.02933942881764453,0.08128154612270833,-0.0063568514543776156,0.10865159616474206,0.6840044349530185,K_G_cumulative
trade+debt+liq,trade|debt|liq,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""trade"": -0.16113002632933232}",0.01404328107421043,0.003222526882986535,1.3134778381829193e-05,0.043121027783824664,0.0003728145717559781,0.0,115.66347200626345,0.32567129764653413,0.0732627731977143,8.778996773317616e-06,0.18207890077148778,0.46926369452158045,1.184214409247155,K_Y_cumulative
trade+debt+liq+log_gdp_pc,trade|debt|liq|log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,14,14,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.005069262476803941,0.0013624331875690969,0.00019863823763621724,0.04255258302467299,0.0010030110457725045,0.0,42.424839889873404,0.11912937162626915,0.033010351100533304,0.00030755858775322054,0.054430272352201756,0.18382847090033655,0.7056236349953946,K_G_cumulative
trade+debt+liq+log_gdp_pc,trade|debt|liq|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,14,14,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.014552990540440042,0.0054534598039042564,0.007617276985125043,0.04255258302467299,0.0010030110457725045,0.0,42.424839889873404,0.3420001679334454,0.13044990835755152,0.00874931117235711,0.0863230457660939,0.597677290100797,0.32665559341547235,K_Y_cumulative
trade+debt+log_gdp_pc,trade|debt|log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.005106947049658666,0.001516215070841798,0.0007565499666377651,0.041728344390204196,0.0012879648578767056,0.0,32.39866688520998,0.12238556607718017,0.03829050824315452,0.0013923235569310854,0.04733754897086327,0.19743358318349707,0.6995435317862801,K_G_cumulative
trade+debt+log_gdp_pc,trade|debt|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.012446915008375563,0.005095659109556665,0.014579843289221461,0.041728344390204196,0.0012879648578767056,0.0,32.39866688520998,0.2982844201050425,0.1199775119616081,0.012912647982289416,0.0631328177055672,0.5334360225045178,0.3264013654807776,K_Y_cumulative
trade+liq,trade|liq,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""liq"": 0.5755551475575922, ""trade"": -0.16113002632933232}",0.00265345209272639,0.0016258207587457078,0.10266489529878542,0.042917963800586045,0.0009105812562222403,0.0,47.13249202892806,0.06182614126465518,0.038456959023933604,0.107907233271894,-0.013548113377187289,0.13720039590649766,0.7293231893050262,K_G_cumulative
trade+liq,trade|liq,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""liq"": 0.5755551475575922, ""trade"": -0.16113002632933232}",0.01526374768553994,0.0031066998855002895,8.961506601234959e-07,0.042917963800586045,0.0009105812562222403,0.0,47.13249202892806,0.35564939092780334,0.06746645068291475,1.3531333009630941e-07,0.22341757742454274,0.487881204431064,1.8346807701247292,K_Y_cumulative
trade+liq+log_gdp_pc,trade|liq|log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.005504457677852328,0.0021847496528335894,0.011752455461327749,0.04196849348158504,0.001821753802175211,0.0,23.037412317445863,0.1311569041730692,0.05616399547123929,0.019530426096820097,0.02107749582156951,0.24123631252456887,0.6949573945334977,K_G_cumulative
trade+liq+log_gdp_pc,trade|liq|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.011666949266487417,0.005040254373508475,0.020626395469617753,0.04196849348158504,0.001821753802175211,0.0,23.037412317445863,0.27799304427276256,0.12046933516521029,0.0210223157898064,0.04187748610746583,0.5141086024380592,0.5652784287223208,K_Y_cumulative
trade+log_gdp_pc,trade|log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.005887499064177917,0.002277041907567369,0.009721220759110638,0.04067807025406193,0.0020664050661041303,0.0,19.68542901937121,0.1447339814156995,0.061527302044676296,0.01865502272327202,0.024142685342216363,0.2653252774891826,0.6904762921419344,K_G_cumulative
trade+log_gdp_pc,trade|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""log_gdp_pc"": 0.07401637081113775, ""trade"": -0.16113002632933232}",0.008130513736009436,0.005552311717552687,0.14309902718439305,0.04067807025406193,0.0020664050661041303,0.0,19.68542901937121,0.19987461758212485,0.1315100252958124,0.1285503889470414,-0.05788029560361882,0.4576295307678685,0.6418723846749156,K_Y_cumulative
