estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,beta_numerator_profile,beta_denominator_profile,var_numerator_profile,var_denominator_profile,cov_numerator_denominator_profile,denominator_t_stat,ratio,ratio_std_error,ratio_p_value,ratio_ci95_low,ratio_ci95_high
linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,0.002814625705574477,0.0422665830928084,2.8573292492696663e-06,8.032442328366653e-07,-7.323256719920518e-07,47.159949574834584,0.06659222249866187,0.04069426314096746,0.10175522953559879,-0.013167067635030144,0.14635151263235388
trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,0.05678305741051189,0.04117361687130627,9.356955520133187e-05,1.54584611166991e-06,6.678883197409239e-06,33.11584872594886,1.3791126873307011,0.21462119868644092,1.311786235191903e-10,0.9584628675864619,1.7997625070749403
trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,0.04117361687130627,0.04117361687130627,1.54584611166991e-06,1.54584611166991e-06,1.54584611166991e-06,33.11584872594886,1.0,7.611211278980303e-19,0.0,1.0,1.0
trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,0.03744433402987266,0.04117361687130627,0.00017935145943281038,1.54584611166991e-06,1.7822354423543686e-06,33.11584872594886,0.9094254251918167,0.32347707954357424,0.0049325490353224755,0.27542199946221313,1.5434288509214202
trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,0.0005560822417479646,0.04117361687130627,7.64814834471865e-06,1.54584611166991e-06,-3.44671460844454e-07,33.11584872594886,0.013505790455234357,0.06720959862927374,0.8407374192686285,-0.11822260227353472,0.14523418318400344
trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,-0.0008755374055987,0.04117361687130627,0.00011124306904576484,1.8812199576353223e-06,-1.5417367301161376e-06,30.019208017225964,-0.02126452500724702,0.25608910086907094,0.9338231926991747,-0.523189939543871,0.48066088952937697
trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,-0.007261732119271199,0.04117361687130627,3.840250193024642e-06,1.8812199576353223e-06,-7.67050922013299e-08,30.019208017225964,-0.17636857461341635,0.04778949224624873,0.0002237869284935634,-0.27003425825551997,-0.0827028909713127
trade__h3__output,trade,trade,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.018157370750506482,0.041220977710837055,0.00017382531586120065,2.1941316018460483e-06,-1.6535358249907848e-05,27.828317661742652,-0.44048859970958143,0.3065576091164932,0.15075014477137705,-1.0413304727646158,0.1603532733454528
trade__h3__investment_path,trade,trade,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.005652620388088487,0.041220977710837055,8.924082104464342e-06,2.1941316018460483e-06,-3.242212773773152e-06,27.828317661742652,-0.13712970196246474,0.06894193699126011,0.04669449625428479,-0.27225341548976423,-0.002005988435165279
trade__h4__output,trade,trade,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.014499997607109072,0.04113296630391102,0.00023891583790343457,2.397174896352674e-06,-2.156009102086736e-05,26.566856459013707,-0.3525152428826991,0.36387044439225574,0.33264833798883653,-1.0656882089301045,0.36065772316470646
trade__h4__investment_path,trade,trade,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.002488693768281336,0.04113296630391102,4.879624001770617e-06,2.397174896352674e-06,-2.962814378018863e-06,26.566856459013707,-0.06050362985965116,0.05174318857838389,0.24228029661349293,-0.16191841591854783,0.04091115619924551
trade__h5__output,trade,trade,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,-0.008093705857495087,0.0413648847623819,1.553650847985856e-05,2.4080508403622513e-06,-1.0669787507402941e-07,26.656246318993105,-0.19566610432952722,0.09544401704391643,0.040358430198284,-0.3827329402754304,-0.008599268383624015
trade__h5__investment_path,trade,trade,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,-0.0002333734421950048,0.0413648847623819,2.270658445854559e-06,2.4080508403622513e-06,3.3802351505505624e-07,26.656246318993105,-0.005641825029505209,0.03645993181324096,0.8770259660746584,-0.07710197826224362,0.0658183282032332
trade__h6__output,trade,trade,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,-0.0008718772801331957,0.04150592398721569,3.153719393046737e-05,2.4363476667087097e-06,-4.894060645832952e-06,26.59135422277671,-0.02100609253757955,0.13486167157695633,0.8762219756390297,-0.285330111723283,0.24331792664812388
