source,estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,matrix_role,matrix_dimension,max_abs_asymmetry,tolerance,missing_cells,passed
lp_stepwise,linear__h7__output,linear_benchmark,,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,denominator_covariance,6,1.2536087619363645e-19,1e-10,0,True
lp_stepwise,linear__h7__investment_path,linear_benchmark,,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,numerator_covariance,6,1.395910297075087e-18,1e-10,0,True
lp_stepwise,linear__h7__investment_path,linear_benchmark,,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,6,6,OK,denominator_covariance,6,1.2536087619363645e-19,1e-10,0,True
lp_stepwise,linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,numerator_covariance,6,4.933119884809045e-18,1e-10,0,True
lp_stepwise,linear__h8__output,linear_benchmark,,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,denominator_covariance,6,8.639736061993863e-20,1e-10,0,True
lp_stepwise,linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,numerator_covariance,6,7.589415207398531e-19,1e-10,0,True
lp_stepwise,linear__h8__investment_path,linear_benchmark,,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,6,6,OK,denominator_covariance,6,8.639736061993863e-20,1e-10,0,True
lp_stepwise,trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,1.951563910473908e-16,1e-10,0,True
lp_stepwise,trade__h0__output,trade,trade,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,8.2924525536196e-19,1e-10,0,True
lp_stepwise,trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,8.2924525536196e-19,1e-10,0,True
lp_stepwise,trade__h0__investment_path,trade,trade,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,8.2924525536196e-19,1e-10,0,True
lp_stepwise,trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,2.0946785972419946e-16,1e-10,0,True
lp_stepwise,trade__h1__output,trade,trade,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,8.2924525536196e-19,1e-10,0,True
lp_stepwise,trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,1.0191500421363742e-17,1e-10,0,True
lp_stepwise,trade__h1__investment_path,trade,trade,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,8.2924525536196e-19,1e-10,0,True
lp_stepwise,trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,1.1145598333150986e-16,1e-10,0,True
lp_stepwise,trade__h2__output,trade,trade,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,1.0028870095490916e-18,1e-10,0,True
lp_stepwise,trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,9.784924606681678e-18,1e-10,0,True
lp_stepwise,trade__h2__investment_path,trade,trade,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,1.0028870095490916e-18,1e-10,0,True
lp_stepwise,trade__h3__output,trade,trade,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,1.6479873021779667e-17,1e-10,0,True
lp_stepwise,trade__h3__output,trade,trade,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,2.642742795433417e-19,1e-10,0,True
lp_stepwise,trade__h3__investment_path,trade,trade,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,3.3881317890172014e-19,1e-10,0,True
lp_stepwise,trade__h3__investment_path,trade,trade,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,2.642742795433417e-19,1e-10,0,True
lp_stepwise,trade__h4__output,trade,trade,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,numerator_covariance,8,2.6373217845709895e-17,1e-10,0,True
lp_stepwise,trade__h4__output,trade,trade,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,denominator_covariance,8,2.778268066994105e-19,1e-10,0,True
lp_stepwise,trade__h4__investment_path,trade,trade,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,numerator_covariance,8,1.2739375526704677e-18,1e-10,0,True
lp_stepwise,trade__h4__investment_path,trade,trade,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,denominator_covariance,8,2.778268066994105e-19,1e-10,0,True
lp_stepwise,trade__h5__output,trade,trade,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,numerator_covariance,8,8.868773770931426e-17,1e-10,0,True
lp_stepwise,trade__h5__output,trade,trade,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,denominator_covariance,8,3.6591823321385775e-19,1e-10,0,True
lp_stepwise,trade__h5__investment_path,trade,trade,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,numerator_covariance,8,1.870248747537495e-18,1e-10,0,True
lp_stepwise,trade__h5__investment_path,trade,trade,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,denominator_covariance,8,3.6591823321385775e-19,1e-10,0,True
lp_stepwise,trade__h6__output,trade,trade,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,numerator_covariance,8,1.0408340855860843e-17,1e-10,0,True
lp_stepwise,trade__h6__output,trade,trade,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,denominator_covariance,8,1.1858461261560205e-19,1e-10,0,True
lp_stepwise,trade__h6__investment_path,trade,trade,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,numerator_covariance,8,3.049318610115481e-19,1e-10,0,True
lp_stepwise,trade__h6__investment_path,trade,trade,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,denominator_covariance,8,1.1858461261560205e-19,1e-10,0,True
lp_stepwise,trade__h7__output,trade,trade,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,numerator_covariance,8,1.929879867024198e-17,1e-10,0,True
lp_stepwise,trade__h7__output,trade,trade,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,denominator_covariance,8,5.55653613398821e-19,1e-10,0,True
lp_stepwise,trade__h7__investment_path,trade,trade,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,numerator_covariance,8,1.6263032587282567e-18,1e-10,0,True
lp_stepwise,trade__h7__investment_path,trade,trade,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,denominator_covariance,8,5.55653613398821e-19,1e-10,0,True
lp_stepwise,trade__h8__output,trade,trade,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,numerator_covariance,8,1.691355389077387e-16,1e-10,0,True
lp_stepwise,trade__h8__output,trade,trade,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,denominator_covariance,8,1.971892701208011e-18,1e-10,0,True
lp_stepwise,trade__h8__investment_path,trade,trade,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,numerator_covariance,8,1.0489656018797255e-17,1e-10,0,True
lp_stepwise,trade__h8__investment_path,trade,trade,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,denominator_covariance,8,1.971892701208011e-18,1e-10,0,True
lp_stepwise,debt__h0__output,debt,debt,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,numerator_covariance,8,3.3393426912553537e-17,1e-10,0,True
lp_stepwise,debt__h0__output,debt,debt,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,denominator_covariance,8,7.558445565264546e-20,1e-10,0,True
lp_stepwise,debt__h0__investment_path,debt,debt,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,numerator_covariance,8,7.558445565264546e-20,1e-10,0,True
lp_stepwise,debt__h0__investment_path,debt,debt,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,denominator_covariance,8,7.558445565264546e-20,1e-10,0,True
lp_stepwise,debt__h1__output,debt,debt,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,numerator_covariance,8,6.678685382510707e-17,1e-10,0,True
lp_stepwise,debt__h1__output,debt,debt,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,denominator_covariance,8,2.704682079701388e-19,1e-10,0,True
lp_stepwise,debt__h1__investment_path,debt,debt,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,numerator_covariance,8,4.6349642873755315e-18,1e-10,0,True
lp_stepwise,debt__h1__investment_path,debt,debt,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,denominator_covariance,8,2.704682079701388e-19,1e-10,0,True
lp_stepwise,debt__h2__output,debt,debt,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,4.217546450968612e-17,1e-10,0,True
lp_stepwise,debt__h2__output,debt,debt,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,1.1858461261560205e-19,1e-10,0,True
lp_stepwise,debt__h2__investment_path,debt,debt,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,4.851804721872632e-18,1e-10,0,True
lp_stepwise,debt__h2__investment_path,debt,debt,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,1.1858461261560205e-19,1e-10,0,True
lp_stepwise,debt__h3__output,debt,debt,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,5.139118297581291e-17,1e-10,0,True
lp_stepwise,debt__h3__output,debt,debt,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,3.5575383784680614e-19,1e-10,0,True
lp_stepwise,debt__h3__investment_path,debt,debt,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,3.2390539903004445e-18,1e-10,0,True
lp_stepwise,debt__h3__investment_path,debt,debt,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,3.5575383784680614e-19,1e-10,0,True
lp_stepwise,debt__h4__output,debt,debt,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,numerator_covariance,8,1.3010426069826053e-17,1e-10,0,True
lp_stepwise,debt__h4__output,debt,debt,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,denominator_covariance,8,1.1519648082658485e-19,1e-10,0,True
lp_stepwise,debt__h4__investment_path,debt,debt,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,numerator_covariance,8,2.998496633280223e-19,1e-10,0,True
lp_stepwise,debt__h4__investment_path,debt,debt,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,denominator_covariance,8,1.1519648082658485e-19,1e-10,0,True
lp_stepwise,debt__h5__output,debt,debt,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,numerator_covariance,8,4.423544863740858e-17,1e-10,0,True
lp_stepwise,debt__h5__output,debt,debt,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,denominator_covariance,8,1.7110065534536867e-19,1e-10,0,True
lp_stepwise,debt__h5__investment_path,debt,debt,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,numerator_covariance,8,4.363913744254155e-18,1e-10,0,True
lp_stepwise,debt__h5__investment_path,debt,debt,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,denominator_covariance,8,1.7110065534536867e-19,1e-10,0,True
lp_stepwise,debt__h6__output,debt,debt,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,numerator_covariance,8,7.860465750519907e-17,1e-10,0,True
lp_stepwise,debt__h6__output,debt,debt,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,denominator_covariance,8,5.183841637196318e-19,1e-10,0,True
lp_stepwise,debt__h6__investment_path,debt,debt,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,numerator_covariance,8,3.618524750670371e-18,1e-10,0,True
lp_stepwise,debt__h6__investment_path,debt,debt,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,denominator_covariance,8,5.183841637196318e-19,1e-10,0,True
lp_stepwise,debt__h7__output,debt,debt,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,numerator_covariance,8,3.209238430557093e-17,1e-10,0,True
lp_stepwise,debt__h7__output,debt,debt,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,denominator_covariance,8,3.083199928005653e-19,1e-10,0,True
lp_stepwise,debt__h7__investment_path,debt,debt,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,numerator_covariance,8,2.032879073410321e-18,1e-10,0,True
lp_stepwise,debt__h7__investment_path,debt,debt,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,denominator_covariance,8,3.083199928005653e-19,1e-10,0,True
lp_stepwise,debt__h8__output,debt,debt,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,numerator_covariance,8,1.242495689668388e-16,1e-10,0,True
lp_stepwise,debt__h8__output,debt,debt,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,denominator_covariance,8,6.640738306473715e-19,1e-10,0,True
lp_stepwise,debt__h8__investment_path,debt,debt,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,numerator_covariance,8,2.4462311516704194e-18,1e-10,0,True
lp_stepwise,debt__h8__investment_path,debt,debt,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,8,8,OK,denominator_covariance,8,6.640738306473715e-19,1e-10,0,True
lp_stepwise,liq__h0__output,liq,liq,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,numerator_covariance,8,8.673617379884035e-18,1e-10,0,True
lp_stepwise,liq__h0__output,liq,liq,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,denominator_covariance,8,1.3552527156068805e-20,1e-10,0,True
lp_stepwise,liq__h0__investment_path,liq,liq,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,numerator_covariance,8,1.3552527156068805e-20,1e-10,0,True
lp_stepwise,liq__h0__investment_path,liq,liq,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,8,8,OK,denominator_covariance,8,1.3552527156068805e-20,1e-10,0,True
lp_stepwise,liq__h1__output,liq,liq,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,numerator_covariance,8,5.204170427930421e-18,1e-10,0,True
lp_stepwise,liq__h1__output,liq,liq,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,denominator_covariance,8,3.8963515573697816e-20,1e-10,0,True
lp_stepwise,liq__h1__investment_path,liq,liq,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,numerator_covariance,8,5.04831636563563e-19,1e-10,0,True
lp_stepwise,liq__h1__investment_path,liq,liq,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,8,8,OK,denominator_covariance,8,3.8963515573697816e-20,1e-10,0,True
lp_stepwise,liq__h2__output,liq,liq,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,2.0925101928970236e-17,1e-10,0,True
lp_stepwise,liq__h2__output,liq,liq,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,9.190307477709159e-20,1e-10,0,True
lp_stepwise,liq__h2__investment_path,liq,liq,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,numerator_covariance,8,1.4365678785432934e-18,1e-10,0,True
lp_stepwise,liq__h2__investment_path,liq,liq,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,8,8,OK,denominator_covariance,8,9.190307477709159e-20,1e-10,0,True
lp_stepwise,liq__h3__output,liq,liq,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,4.553649124439119e-18,1e-10,0,True
lp_stepwise,liq__h3__output,liq,liq,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,4.1928130889087867e-20,1e-10,0,True
lp_stepwise,liq__h3__investment_path,liq,liq,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,numerator_covariance,8,3.7947076036992655e-19,1e-10,0,True
lp_stepwise,liq__h3__investment_path,liq,liq,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,denominator_covariance,8,4.1928130889087867e-20,1e-10,0,True
lp_stepwise,liq__h4__output,liq,liq,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,numerator_covariance,8,6.613633252161577e-18,1e-10,0,True
