country,year,trade_z_lag1,debt_z_lag1,liq_z_lag1,log_gdp_pc_z_lag1
AUT,1995,,,,
AUT,1996,-0.5606505879364219,0.16364084279580723,0.21023261617264558,0.09467504538333273
AUT,1997,-0.5429998905013108,0.16364084279580723,0.1822352576303705,0.1487344973019993
AUT,1998,-0.3920765113089577,0.034202535693573545,0.14639160935722514,0.2015739423831652
AUT,1999,-0.3838461299206757,0.045218561829933834,0.09680564744673323,0.28891274731714994
AUT,2000,-0.32603513775961007,0.12233074478445602,0.09375874150838098,0.3808552369598671
AUT,2001,-0.048383717432022695,0.10856071211400561,0.06736716427068438,0.4570546592049073
AUT,2002,-0.04411978490556345,0.12508475131854635,0.09018716718842523,0.4813849858262627
AUT,2003,-0.2666375660538155,0.1305927643867266,0.10815055589246766,0.5071185525106273
AUT,2004,-0.3570726001033728,0.10305269904582577,0.027854332365493863,0.5252312861015906
AUT,2005,-0.29013877556011525,0.08928266637537537,-0.005197752056824575,0.5752701387331707
AUT,2006,-0.3628239509530159,0.18567289506852822,-0.05719370075060374,0.6176736587385897
AUT,2007,-0.2957909651882122,0.15262481665944716,-0.08303244470212266,0.6886132855607573
AUT,2008,-0.2851807144828369,0.08652865984128505,-0.0780868349622915,0.7773833861695733
AUT,2009,-0.2783385901961925,0.18842690160261813,0.06712829508717386,0.8069498168004259
AUT,2010,-0.5187053912226468,0.4996296399547972,-0.17450652106633674,0.7046865801779166
AUT,2011,-0.17927652987217108,0.5794958294434097,-0.21029643682347982,0.7456516623060186
AUT,2012,-0.004851941173518718,0.5712338098411396,-0.11717895273733486,0.812849244346929
AUT,2013,-0.006141037053611277,0.5574637771706892,-0.17394175589543365,0.8174973513867594
AUT,2014,0.0416546717313525,0.5436937445002388,-0.2642156023978689,0.7950590445601489
AUT,2015,-0.13128249864411654,0.6208059274547609,-0.3088492676269083,0.7942522634435617
AUT,2016,-0.14585919821131516,0.631821953591121,-0.28305463270844655,0.8021013474049494
AUT,2017,-0.17005453626843348,0.5712338098411396,-0.29572994347449594,0.823785023327797
AUT,2018,-0.0031662004072440433,0.45281152887526577,-0.36243030693138556,0.8662684217236943
AUT,2019,0.14944291955138378,0.3288812348412121,-0.2967380021927493,0.9180523820613689
AUT,2020,0.11790965109989329,0.22973699961396934,-0.3502739536918022,0.9519268599003495
AUT,2021,-0.0865607877270662,0.5657257967729593,-0.6284789736684329,0.7688030442250863
AUT,2022,0.18127367166751068,0.5436937445002388,-0.6937284456012197,0.8849177571464298
AUT,2023,0.36967999260408824,0.42527146353436496,-0.40095051762595124,0.9918247234579216
AUT,2024,,0.41700944393209477,-0.39467644727026546,0.9485908998076461
AUT,2025,,0.47759758768207666,-0.48520341299582365,0.917655047248072
BEL,1995,,,,
BEL,1996,0.04899260212572409,1.8959109527384683,-1.7879564601525093,-0.01858109910970593
BEL,1997,0.25455381438968483,1.8325688024543962,-1.970092648713291,0.0108058610441508
BEL,1998,0.3101832596767479,1.6976224822839825,-2.155130617837818,0.1024418420914506
BEL,1999,0.3116706779999313,1.5599221555794784,-2.2439098184052306,0.14790298988375622
BEL,2000,0.27587347702198156,1.4525159007499655,-2.4732831648113445,0.2332279421353017
BEL,2001,0.6013206061345328,1.2955375283068309,-2.234790277029048,0.3227775559053492
BEL,2002,0.5964617062788,1.2624894498977497,-2.187710917219148,0.34247401875232153
BEL,2003,0.4603133490967363,1.1826232604091373,-1.7861818787749533,0.3751721230824745
BEL,2004,0.3331886630753194,1.0779710121137143,-1.8657819496451822,0.39131168894032775
BEL,2005,0.44048110478762287,0.9512867115455707,-1.9723605502002568,0.47216424172909205
BEL,2006,0.5517399953617492,0.896206580863769,-2.131215837009509,0.5180335668338286
BEL,2007,0.5119763455219767,0.7943083391024359,-2.0540732220763798,0.5669289926108306
BEL,2008,0.5812900393823279,0.6841480777388327,-1.940028488654918,0.6425243299470342
BEL,2009,0.6160956281448221,0.8411264501819674,-1.491154576284894,0.6334915023490819
BEL,2010,0.5629452133963979,1.025644887966003,-1.9270474492907623,0.5617529731576362
BEL,2011,0.6510995393504071,1.036660914102363,-2.0135460168226516,0.6080278115403742
BEL,2012,0.7073239519667437,1.105511077454615,-1.8754686997505137,0.6240813564773888
BEL,2013,0.7489716650158816,1.1495751820000566,-1.9557594653141095,0.613487935159195
BEL,2014,0.7230905861924887,1.168853227738687,-2.0136454180723686,0.6090993184218534
BEL,2015,0.8698491940799282,1.2101633257500382,-2.1084070395678207,0.64342326414561
BEL,2016,0.7866529292031974,1.1853772669432276,-2.2021398917375046,0.6666620803550863
BEL,2017,0.7400471550767805,1.1881312734773175,-2.2405152076705015,0.6845494538386765
BEL,2018,0.8013287899919417,1.100003064386435,-2.140850329743247,0.7128669330424285
BEL,2019,0.7967673738008454,1.0339069075682732,-1.8494019901986605,0.7498082116452248
BEL,2020,0.7034566643264666,0.9650567442160211,-1.9935829732163797,0.7990499631723248
BEL,2021,0.8120382019188626,1.3423556393863623,-2.3158667927598033,0.6586057264936886
BEL,2022,0.8013287899919417,1.26799746296593,-2.2079743284576385,0.8072342022840416
BEL,2023,1.0649984780816044,1.1192811101250655,-1.503653928224861,0.8897273766188187
BEL,2024,,1.0972490578523448,-1.4928269196326414,0.9080766829306439
BEL,2025,,1.1358051493296062,-1.5787080923585122,0.9211427130393093
BGR,1995,,,,
BGR,1996,-0.7645260594341079,0.38946937859119396,,-3.1784364940422547
BGR,1997,0.33765091804486996,5.00793833626026,1.6935305516999584,-3.0314999827571993
BGR,1998,0.19773443444407476,0.9375166788751202,1.5232177594206366,-3.4154350367163313
BGR,1999,-0.6322449898923213,0.11131471864809593,1.5265431331458896,-3.300122156922261
BGR,2000,0.24939743086931512,0.36192931325029315,1.4209199599879565,-3.5158960428279813
BGR,2001,0.09639166602450519,0.22147498001169919,1.3259026597496801,-3.385010117285315
BGR,2002,0.13774189540900672,0.05072657489811407,1.3042858516805118,-3.2024272660082884
BGR,2003,0.2668498058613348,-0.3210643072040469,1.2727607745186436,-3.0376614864116527
BGR,2004,0.49958119282878105,-0.530368803794893,1.2402700135881852,-2.888341433325874
BGR,2005,0.9576068751477552,-0.7424273069198292,1.243490379387243,-2.708256146891306
BGR,2006,0.9422368858081919,-0.9930419015220266,1.2811871478611792,-2.515096864574083
BGR,2007,0.7320150961315898,-1.1500202739651613,1.3996161437445385,-2.3282132731840846
BGR,2008,0.6297798767181103,-1.276704574533305,0.9558272353525044,-2.145462642188884
BGR,2009,0.7538305648716144,-1.3675867901582777,0.8556194576671561,-1.9765865775033238
BGR,2010,-0.5153339096900981,-1.348308744419647,0.5696530445034188,-2.0528489313236964
BGR,2011,-0.1840362685063581,-1.3042446398742058,0.5044238259133854,-1.99459312916325
BGR,2012,0.12028952041698708,-1.3069986464082959,0.543640423834118,-1.874553836186871
