input,role,dataset,params,present_2025,missing_2025_count,missing_2025_geo,missing_2025_country,status_flags_2025,present_2024,missing_2024_geo,eurostat_updated,fetched_at_utc,source_url,raw_json,raw_json_sha256
core_household_credit,legacy liquidity input,nasa_10_f_bs,freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F4,26,1,IE,IRL,p,27,,2026-05-21T23:00:00+0200,2026-05-22T06:55:11.695679+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F4&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/core_household_credit.json,e5befcc21b2d0212988d5b5cea99795917116c623d506692f644dbec7c8179aa
replacement_household_total_financial_assets,household net financial worth construction,nasa_10_f_bs,freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=ASS&na_item=F,26,1,IE,IRL,p,27,,2026-05-21T23:00:00+0200,2026-05-22T06:55:11.695679+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=ASS&na_item=F&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/replacement_household_total_financial_assets.json,dd3656d60faf45b35f13a09a34013537660da333c93690a9543b14ac6442425b
replacement_household_total_financial_liabilities,household net financial worth construction,nasa_10_f_bs,freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F,26,1,IE,IRL,p,27,,2026-05-21T23:00:00+0200,2026-05-22T06:55:11.695679+00:00,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nasa_10_f_bs?format=JSON&lang=en&freq=A&unit=MIO_EUR&co_nco=NCO&sector=S14_S15&finpos=LIAB&na_item=F&geo=AT&geo=BE&geo=BG&geo=CY&geo=CZ&geo=DE&geo=DK&geo=ES&geo=EE&geo=FI&geo=FR&geo=EL&geo=HR&geo=HU&geo=IE&geo=IT&geo=LT&geo=LU&geo=LV&geo=MT&geo=NL&geo=PL&geo=PT&geo=RO&geo=SK&geo=SI&geo=SE&time=2024&time=2025,data/raw/replacement_household_total_financial_liabilities.json,6f189d05b88db9d3ded848f82c6e92098bce90ad289c9a9f0b2ab3b36bf495dc
