feature_set,features,horizon,response_type,dep_col,scale_col,window_start,window_end,nobs,country_n,year_min,year_max,rank,regressor_count,status,profile_country,profile_year,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,ci95_low,ci95_high
debt+liq,debt|liq,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.004189896492471044,0.026741568672762728,0.8754962391925976,0.04245585662017445,0.0005661878871952957,0.0,74.98545550044611,0.09868830418275114,0.6292488138991801,0.8753748049287924,-1.1346167083741885,1.3319933167396907
debt+liq,debt|liq,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.009113196102602176,0.0169823686061183,0.5915253475621354,0.042604777027246854,0.000458534531493902,0.0,92.91508948833324,-0.2139008049912819,0.39913009683057804,0.5920155669581741,-0.996181419925199,0.5683798099426352
debt+liq,debt|liq,7,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h7,gi_dyn0,2004,2018,405,27,2004,2018,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.02892147650366758,0.019931888125254798,0.14677557365719496,0.04291365369290007,0.00033977416621688763,0.0,126.30051946182114,-0.6739457961476851,0.46549789363815125,0.14767422733936542,-1.586304902557718,0.2384133102623478
debt+liq,debt|liq,8,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h8,gi_dyn0,2004,2017,378,27,2004,2017,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.0518023300390775,0.016137740864621847,0.0013272976839371342,0.04297576151536331,0.00035507199662093274,0.0,121.03393656595034,-1.2053848079122182,0.3749646769654577,0.001305980667485107,-1.9403020702392109,-0.47046754558522574
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.07186021329396229,0.031350767565015106,0.021897814406471205,0.04161477962630647,0.000794825244021603,0.0,52.35714383673425,-1.7267954784154713,0.7618345124909665,0.023412956835563214,-3.2199636850773947,-0.2336272717535477
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,1,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h1,gi_dyn0,2004,2024,557,27,2004,2024,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.12003025492598826,0.0442504597787761,0.006677376193534368,0.041677791303241694,0.0007989654132175669,0.0,52.16470026580785,-2.879957194772275,1.077847170387025,0.007541116522598479,-4.99249882956925,-0.7674155599752996
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,2,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h2,gi_dyn0,2004,2023,531,27,2004,2023,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.09580884020643013,0.049290136179776706,0.051922820450531315,0.04170664309102922,0.0008265290666056949,0.0,50.45998353367752,-2.2972081449307025,1.1858447052056642,0.05272195316150574,-4.621421058391321,0.027004768529915957
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,3,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h3,gi_dyn0,2004,2022,506,27,2004,2022,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.04849361546265568,0.0471678577585217,0.30389939127857346,0.04173313122722442,0.0008734710263222826,0.0,47.778495187115965,-1.1619932182567958,1.1339332467867063,0.30548319379177613,-3.3844615428313087,1.060475106317717
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,4,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h4,gi_dyn0,2004,2021,481,27,2004,2021,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.029435883440548385,0.030533127034478285,0.33501392450139567,0.041626652316549634,0.0008879867476833728,0.0,46.87756030723146,-0.707140300803038,0.7412856287096149,0.34011518346617375,-2.1600334353310133,0.7457528337249374
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.01645970347933088,0.04333061591832088,0.7040470158842571,0.04166875788288846,0.0008122731583229231,0.0,51.29894722721201,0.3950130581187821,1.0344926953330704,0.7025783495285729,-1.6325553670038022,2.4225814832413666
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.004838724345159407,0.033378843656629166,0.8847394454554318,0.041831824487363,0.000775371875771247,0.0,53.95066005683236,0.11567088943541394,0.7966796966591806,0.8845599055078586,-1.4457926232308747,1.6771344021017025
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,7,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h7,gi_dyn0,2004,2018,405,27,2004,2018,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.010703219810719186,0.032623047288468224,0.7428453708979827,0.04228443842487623,0.0006634903028560836,0.0,63.73030358221839,-0.25312432207737223,0.7730597482976063,0.7433413402379827,-1.7682935866382794,1.262044942483535
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,8,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h8,gi_dyn0,2004,2017,378,27,2004,2017,12,12,OK,POL,2025,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.018922219800605794,0.021830015775871205,0.3860525528830556,0.042336265942775814,0.0006845662441155951,0.0,61.8439286288077,-0.44695060792990526,0.5141232248771952,0.38465829367112137,-1.4546136123047946,0.560712396444984
debt+log_gdp_pc,debt|log_gdp_pc,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.06413301387164357,0.024138396143111158,0.007886565073223162,0.040509232354239595,0.0008544815034386552,0.0,47.40796868184968,-1.583170308210779,0.6050533781994692,0.00888156610666413,-2.7690531382060306,-0.39728747821552757
debt+log_gdp_pc,debt|log_gdp_pc,1,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h1,gi_dyn0,2004,2024,557,27,2004,2024,10,10,OK,POL,2025,"{""debt"": -0.08146573873820974, ""log_gdp_pc"": 0.07401637081113775}",-0.10473232161448913,0.0377636655771391,0.0055480336493851645,0.04055195428391706,0.0008618891525694543,0.0,47.05008081726522,-2.582670144112538,0.9485591254012081,0.0064744998393682085,-4.441811867105718,-0.723528421119358
